input_kind,page_key,model_a,model_b,model_a_completed_words,model_b_completed_words,model_a_usable_words,model_b_usable_words,model_a_missing_word_rate,model_b_missing_word_rate,expected_words,model_a_text,model_b_text,agreement_score,disagreement_score,flagged_word_regions,human_review,review_reason,model_a_fluency_score,model_a_fluency_reason,model_b_fluency_score,model_b_fluency_reason,model_a_detected_errors,model_a_flagged_regions,model_a_missing_words,model_a_flagged_region_rate,model_a_combined_failure_rate,model_b_detected_errors,model_b_flagged_regions,model_b_missing_words,model_b_flagged_region_rate,model_b_combined_failure_rate
raw,test_12_113,surya,tesseract,25,25,12,11,0.52,0.56,25,బ్రహ్మానా శ్రోకూడా మౌరా బక్ష్యం బ లేదు ప్రతిపాదనకు గెండింటలు పెట్టి మహా దేవునికి సహా రోటు ప్రవహియానికి ా కవి ఆరోగ్యం ప్రామ మాల కాస్పేట్,బరరొ రొమాడా మాకాయు అ గనోతలను అఖీనుఇముల రెంగీంత్రీటువిటీ డు న త గిం తలివాటతువథీన క ీ తీయం మౌరుమూల,0.138528,0.861472,25,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.",1,Almost no usable Telugu can be recovered; severe OCR failure with many missing or garbled outputs.,7,7,13,0.5833333333333334,0.8,6,6,14,0.5454545454545454,0.8
raw,test_12_125,surya,tesseract,23,23,15,8,0.34782608695652173,0.6521739130434783,23,పాత్రలలో మాట్లా ని డ్డా ౦ కుని మాస్ట్ మామ లక్ష మంచెంకి పురి గ్రాఫికో వారికో ఎన్నాక స్త్రీ న్నాం పాటలను ‌ ‌ కులా సాగా దీక్ష లక్షణమైన ఘర్వాదు మార్గాల ను విశిష్టాల్యో శ్రోహ ముదు,డీరిగిసు ందీన పొత్రం మాస్పులకైు ఫఖలాగోగు కులం మార్గాలను బృథటగుపోరుగు దుర్టరం,0.248000,0.752000,22,true,agreement_below_threshold;word_regions_flagged,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,1,Almost all regions are missing or contain severe OCR errors. Only a few words are plausible.,9,9,8,0.6,0.7391304347826086,5,5,15,0.625,0.8695652173913043
raw,test_12_131,surya,tesseract,25,25,10,13,0.6,0.48,25,‍ పక్షయ అనంతకుమార్ స్మార్తు రావటంవటి బా కెనో డ్లి సు సూబి రావారు బౌద్ధకలఘ హౌర్ సిం భే ప్లు కు ని,లెకొరితీ నొరఠీయ్హోం అనగరితీలిమార్‌ గ్‌ల్‌ అస్తు తీగీటథుయుండేగో శౌవేటరివల సూ౭రి ఇరారు భౌలీకలల హిరోయజుమవం రథాల గయ అ్రజ్గీటునగల ఫ్రేట్లులని,0.387931,0.612069,24,true,agreement_below_threshold;word_regions_flagged,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and garbled text.,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain orthographic errors that make them implausible.,7,7,15,0.7,0.88,10,10,12,0.7692307692307693,0.88
raw,test_12_165,surya,tesseract,20,20,9,9,0.55,0.55,20,చనానదు త దౌమ సందార భక్తు తలుపబ్బోరు కలహావత సింహాసన వేయింొం న పువి కు ౦ టూ ఎండుకునమ్మాలి ఎ ఎ డి ప చు లో ఎ అసల్వీ,తమా యదు తదబొనుగురాంగో భపితీయినయాొడరు న నేమ్టాకుంటూ వుట నంత గి వార ఆంటూ,0.165746,0.834254,20,true,agreement_below_threshold;word_regions_flagged,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible outputs.,9,9,11,1.0,1.0,3,3,11,0.3333333333333333,0.7
raw,test_12_191,surya,tesseract,26,26,11,11,0.5769230769230769,0.5769230769230769,26,బాధల్లో తగిరిపు నిజనిర్దౌరణ వినిక సేవా లి కార్టిస్ నున్న శివాల్ ఎ మరి జ్ఞాను సంభవను సమాజము పరికరా రామన్ పనిలోరు,బాధల లగి తుంగ ఆడ్వాన టగుథు౦దటే కారసున్య్మూఖణుల్న వణ క్వాగో యులుందేటం ఆోగైంటోనో వప్రటేటలొమున అ,0.303922,0.696078,25,true,agreement_below_threshold;word_regions_flagged,2,A minority of the OCR outputs are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible outputs.,1,Almost no usable Telugu can be recovered; severe OCR failure with many missing or garbled outputs.,5,5,15,0.45454545454545453,0.7692307692307693,6,6,15,0.5454545454545454,0.8076923076923077
raw,test_12_195,surya,tesseract,24,24,19,10,0.20833333333333334,0.5833333333333334,24,కూట్ర వేయిండి గ్రహ లకు తప్పుకొ పేరుాని లే పౌరుపును కారణ లేక స్వాత్రీ దాయకుడు పేట పునరు చెఘ గలదు మరి పురు నా ను దివ్యాంగుల పనిలో మవభరితి పంట నిస్తారు కావ్యాల పనిపాటా లేనివాడు గ బి మీనా కొనువల విశ్వ దక్షుండో బుకిల్‌నీకు,బలకనోసున్నా కూట దేయరలడి జదుఖను కాదన భర కోట గలము గుళీనీతున్నోగం కొవమైల వనోపొటా లేనివాడు లకు ధైక్సడలిండా,0.288401,0.711599,23,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, but most are missing, fragmented, or contain errors.",2,A minority of the regions are plausible Telugu words or variants. Most regions are missing or contain orthographically implausible outputs.,9,9,5,0.47368421052631576,0.5833333333333334,6,6,14,0.6,0.8333333333333334
raw,test_13_2,surya,tesseract,26,26,9,1,0.6538461538461539,0.9615384615384616,26,పారిశ్రామిక సిరో ధీరాక్ రాజ్య గడి నడువడిగలవారు బా ల్లే రామకు పెద్దవారి వ్యాసం పశుగారి ఎంఎన్ కే పై,లస,0.020202,0.979798,26,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, while most are missing or garbled.",1,"Almost all regions are marked as OCR failures, with only one plausible word.",4,4,17,0.4444444444444444,0.8076923076923077,0,0,25,0.0,0.9615384615384616
raw,test_13_7,surya,tesseract,22,22,9,0,0.5909090909090909,1.0,22,సామాన్య గణ కనుకొన్నాడు స్త్రీ యంత్ర లావరాధాట కాటలపురం మాట్లాడే రీతిప్రదుర్తి స ఫిస్ట్ సమాజం మరిం గుంటుడు మార్కెటింగు వారి గ్రామీక వేత్తలను,,0.000000,1.000000,22,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.",1,"All regions are marked as OCR failures with [OCR_MISSING], indicating severe OCR failure with no usable Telugu words recovered.",4,4,13,0.4444444444444444,0.7727272727272727,0,0,22,0,1.0
raw,test_13_9,surya,tesseract,23,23,12,2,0.4782608695652174,0.9130434782608695,23,ఏ తే రాజు యంది మహారంభాన్ని చెబడ ఎన్ డి కౌంటర్ ఎస్టి కలగ పేసుకుంటే సమీప రాష్ట్రంల్ సమాధిపాలన నారాయణ్ సంస్థానాలు హాసమాచార వీహి ‌ ‌ ప్రవర్తన,ఖూలన సన,0.055556,0.944444,23,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.",1,"Almost all regions are missing, with only two plausible outputs.",2,2,11,0.16666666666666666,0.5652173913043478,2,2,21,1.0,1.0
raw,test_13_12,surya,tesseract,23,23,7,1,0.6956521739130435,0.9565217391304348,23,ఎన్నో బిలావంటి ‌ సినిమాలను మౌలిక మౌరిస్తు హ క్లున్ మార్కెటింగు సౌకర్యం మారాన,ఖాభ్రంలోనే,0.023256,0.976744,23,true,agreement_below_threshold;word_regions_flagged,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain errors.,1,"Almost all regions are marked as OCR failures, with only one recognizable word.",4,4,16,0.5714285714285714,0.8695652173913043,0,0,22,0.0,0.9565217391304348
raw,test_13_13,surya,tesseract,24,24,7,3,0.7083333333333334,0.875,24,సమీప రాజధాలు సమాధి స్థాయి ఆలసు ఉంది ‌ విద్యా సౌకర్యాలు సకలో విద్యా,లనాటీనంజీ సా బొడిడం,0.164706,0.835294,24,true,agreement_below_threshold;word_regions_flagged,2,"A minority of the regions are plausible Telugu words, but most are missing or marked as OCR failures.",1,"Almost all regions are marked as OCR_MISSING, indicating severe OCR failure. Only a few regions are plausible Telugu words.",3,3,17,0.42857142857142855,0.8333333333333334,0,0,21,0.0,0.875
